部分,考试类型,问题类型,问答对,筛选后三元组,index,同类问题,不同问题,index
高考学考,专科自主招生,报名篇,问：非本市户籍考生，父母双方或一方是经上海市人民政府合作交流办公室认定的驻沪机构工作人员，应届毕业生专科层次依法自主招生考试报考资格有哪些要求？答：要求参加本市中招且具有本市高中阶段完整学习经历；有关证明：无； 名单由市教育考试院下达给各区,"['(非本市户籍考生，父母双方或一方是经上海市人民政府合作交流办公室认定的驻沪机构工作人员，应届毕业生,专科层次依法自主招生考试报考条件,要求参加本市中招且具有本市高中阶段完整学习经历；有关证明：无； 名单由市教育考试院下达给各区)']",573,"['非本市户籍考生，若父母其中一方为上海市人民政府合作交流办公室认定的驻沪机构工作人员，其应届毕业生报考专科层次依法自主招生考试需满足哪些资格条件？', '父母属驻沪机构人员的非户籍生报考上海专科自主招生有何条件？', '对于非上海户籍的应届毕业生，父母一方被上海市合作交流办认定为驻沪机构工作人员，报考专科依法自主招生时需满足哪些要求？是否需要提供特定证明材料？资格名单如何确定？', '爸妈在上海的驻沪机构工作，孩子不是本地户口的话，报专科自主招生有啥要求啊？听说不用交证明是真的吗？']","['父母一方被认定为驻沪机构工作人员的非沪籍应届生，报考专科自主招生需满足哪些学习经历条件？', '非本市户籍考生报考上海专科自主招生，若父母属驻沪机构人员，是否需要提交额外证明材料？', '驻沪机构工作人员的非沪籍子女报考专科自主招生，考生名单如何确认和下发？']",573
高考学考,专科自主招生,报名篇,问：非本市户籍考生，父母双方或一方是经上海市人民政府合作交流办公室认定的驻沪机构工作人员，往届毕业生专科层次依法自主招生考试报考资格有哪些要求？答：要求2023年列入本市高考报名库；有关证明：无； 名单由市教育考试院下达给各区,"['(非本市户籍考生，父母双方或一方是经上海市人民政府合作交流办公室认定的驻沪机构工作人员，往届毕业生,专科层次依法自主招生考试报考条件,要求2023年列入本市高考报名库；有关证明：无； 名单由市教育考试院下达给各区)']",574,"['非本市户籍往届毕业生，父母一方为上海市人民政府合作交流办公室认定的驻沪机构工作人员，报考专科层次依法自主招生需满足哪些资格条件？', '非本市户籍往届生报考专科自主招生的条件？', '如果考生是非上海户籍的往届毕业生，且父母中至少一方是经上海市政府合作交流办认定的驻沪机构职工，在参加专科依法自主招生考试时，对其高考报名状态、所需证明材料及资格审核流程的具体要求是什么？', '外地往届生，爸妈在上海的驻沪机构工作，考专科自主招生的话得准备啥材料啊？听说不用开证明是真的吗？']","['非本市户籍往届生报考专科自主招生，若父母一方是上海认定的驻沪机构人员，需满足哪些报名条件？', '驻沪机构工作人员的非沪籍往届生报考专科自主招生，是否需要提交相关证明材料？', '如何确定父母为驻沪机构工作人员的非本市户籍往届生是否符合专科自主招生报考资格？']",574
高考学考,专科自主招生,报名篇,问：非本市户籍考生，在沪台湾同胞，香港、澳门特别行政区永久居民，应届毕业生专科层次依法自主招生考试报考资格有哪些要求？答：要求本市高中阶段学校毕业；有关证明：台湾：《台湾居民来往大陆通行证》（台胞证）；香港、澳门：永久性居民身份证和《港澳居民来往内地通行证》,"['(非本市户籍考生，在沪台湾同胞，香港、澳门特别行政区永久居民，应届毕业生,专科层次依法自主招生考试报考条件,要求本市高中阶段学校毕业；有关证明：台湾：《台湾居民来往大陆通行证》（台胞证）；香港、澳门：永久性居民身份证和《港澳居民来往内地通行证》)']",575,"['非本市户籍的台湾同胞及港澳永久居民应届毕业生参加上海市专科层次自主招生考试需要满足哪些资格条件？', '沪台港澳应届生专科自主招生报考要求是什么？', '作为非本市户籍的台湾同胞或香港、澳门特别行政区永久居民，若以应届毕业生身份报考上海市专科层次依法自主招生考试，需具备哪些学历条件和身份证明材料？', '我是台湾的/港澳的，在上海读高中，想报专科自主招生的话得符合啥要求啊？要带哪些证件？']","['在沪台湾同胞作为应届毕业生报考专科自主招生考试，需要提供哪些身份证明材料？', '港澳永久居民应届生参加上海专科层次自主招生考试，需满足哪些证件要求？', '非上海户籍的港澳台应届生报考本市专科自主招生，资格条件包括哪些内容？']",575
高考学考,专科自主招生,报名篇,问：非本市户籍考生，在沪台湾同胞，香港、澳门特别行政区永久居民，往届毕业生专科层次依法自主招生考试报考资格有哪些要求？答：要求本市高中阶段学校毕业；有关证明：台湾：《台湾居民来往大陆通行证》（台胞证）；香港、澳门：永久性居民身份证和《港澳居民来往内地通行证》,"['(非本市户籍考生，在沪台湾同胞，香港、澳门特别行政区永久居民，往届毕业生,专科层次依法自主招生考试报考条件,要求本市高中阶段学校毕业；有关证明：台湾：《台湾居民来往大陆通行证》（台胞证）；香港、澳门：永久性居民身份证和《港澳居民来往内地通行证》)']",576,"['""非本市户籍的考生中，在沪台湾同胞、香港及澳门特别行政区永久居民身份的往届毕业生，报考专科层次依法自主招生考试需满足哪些资格条件？""', '""港澳台往届生报考上海专科自主招生有何要求？""', '""如果我是非上海户籍的往届毕业生，且属于在沪台湾同胞或持有香港、澳门永久居民身份，报考专科层次的依法自主招生考试时，需要具备哪些资格条件？具体需要提交哪些证明材料？""', '""哎，我想问下，台湾或者港澳的往届生想在上海考专科自主招生，得准备啥材料啊？是不是必须本地高中毕业？""']","['港澳往届毕业生报考上海专科自主招生需提供哪些身份证明材料？', '台湾考生非上海户籍，报考专科层次自主招生需满足哪些条件？', '非沪籍的港澳台往届生报考上海专科自主招生，学历和证件要求是什么？']",576
高考学考,专科自主招生,报名篇,问：非本市户籍考生，在沪定居并持有《中华人民共和国外国人永久居留身份证》的外国人，应届毕业生专科层次依法自主招生考试报考资格有哪些要求？答：要求高中阶段学校毕业；有关证明：签发地为上海的《中华人民共和国外国人永久居留身份证》,"['(非本市户籍考生，在沪定居并持有《中华人民共和国外国人永久居留身份证》的外国人，应届毕业生,专科层次依法自主招生考试报考条件,要求高中阶段学校毕业；有关证明：签发地为上海的《中华人民共和国外国人永久居留身份证》)']",577,"['非本市户籍且在沪定居的外籍应届毕业生报考专科层次依法自主招生考试需满足哪些资格条件？', '外籍应届生报考上海专科自主招生要求？', '作为非本市户籍的外籍人士，在上海定居并持有永久居留身份证，若以应届毕业生身份报考专科层次依法自主招生考试，需符合哪些具体毕业条件和证明材料？是否还有其他附加规定？', '我在上海住但不是本地户口，有老外永久居留证，想考专科自主招生的话，应届生需要满足啥条件啊？']","['外籍非沪籍应届生报考上海专科自主招生需要提供哪些证明材料？', '在沪定居的外国学生报考专科层次依法自主招生需满足什么学历条件？', '持有上海签发永久居留证的外籍应届毕业生，申请专科自主招生需符合哪些要求？']",577
高考学考,专科自主招生,报名篇,问：非本市户籍考生，在沪定居并持有《中华人民共和国外国人永久居留身份证》的外国人，往届毕业生专科层次依法自主招生考试报考资格有哪些要求？答：要求高中阶段学校毕业；有关证明：签发地为上海的《中华人民共和国外国人永久居留身份证》,"['(非本市户籍考生，在沪定居并持有《中华人民共和国外国人永久居留身份证》的外国人，往届毕业生,专科层次依法自主招生考试报考条件,要求高中阶段学校毕业；有关证明：签发地为上海的《中华人民共和国外国人永久居留身份证》)']",578,"['""非本市户籍的往届毕业生，持有上海签发的《外国人永久居留身份证》报考专科层次依法自主招生考试，需满足哪些资格条件？""', '""非沪籍往届生持上海永居证报专科自主招生的要求？""', '""作为在沪定居的非本市户籍往届毕业生，若持有签发地为上海的《外国人永久居留身份证》，报考专科层次依法自主招生考试时，需具备哪些学历条件和身份证明材料？""', '""哎，如果我不是上海户口，但有上海的永居证，还是往届生，想报专科自主招生的话，需要啥条件啊？""']","['外籍往届毕业生报考上海专科自主招生考试需要满足哪些条件和提供什么证明？', '持上海签发的外国人永久居留身份证的非本地户籍考生，报考专科层次自主招生需具备哪些资格？', '在沪定居的外国往届毕业生申请专科自主招生考试，学历和身份材料有何要求？']",578
高考学考,专科自主招生,报名篇,问：非本市户籍考生，父母双方或一方是本市博士后科研流动站或工作站在站人员，应届毕业生专科层次依法自主招生考试报考资格有哪些要求？答：要求高中阶段学校毕业；有关证明：市人力资源社会保障局证明,"['(非本市户籍考生，父母双方或一方是本市博士后科研流动站或工作站在站人员，应届毕业生,专科层次依法自主招生考试报考条件,要求高中阶段学校毕业；有关证明：市人力资源社会保障局证明)']",579,"['非本市户籍考生，若父母一方为本市博士后科研流动站在站人员，应届专科自主招生考试的报考资格需满足哪些条件？', '父母是本市在站博士后，非本地户籍考生报考专科自主招生需要什么？', '作为非本市户籍的应届毕业生，父母其中一方在本市博士后科研流动站或工作站在站工作，报考专科层次依法自主招生考试时，需具备哪些学历要求和证明材料？', '爸妈有一个在本市的博士后站工作，但我户口不在本地，想报应届专科自主招生的话，得满足啥条件啊？']","['父母一方在本市博士后流动站工作的非本地户籍应届生，报考专科自主招生需满足什么条件？', '非本市户籍考生若家长是本市在站博士后，参加专科自主招生需要哪些材料？', '本市博士后工作站在站人员子女为非本地户籍应届生，申请专科层次自主招生的资格要求是什么？']",579
高考学考,专科自主招生,报名篇,问：非本市户籍考生，父母双方或一方是本市博士后科研流动站或工作站在站人员，往届毕业生专科层次依法自主招生考试报考资格有哪些要求？答：要求高中阶段学校毕业；有关证明：市人力资源社会保障局证明,"['(非本市户籍考生，父母双方或一方是本市博士后科研流动站或工作站在站人员，往届毕业生,专科层次依法自主招生考试报考条件,要求高中阶段学校毕业；有关证明：市人力资源社会保障局证明)']",580,"['非本市户籍的往届毕业生，若父母一方为本市博士后流动站或工作站在站人员，报考专科层次依法自主招生需满足哪些资格条件？', '父母是本市在站博士后的非户籍往届生，报考专科自主招生有什么要求？', '对于非本市户籍的往届毕业生，其父母其中一方在本市博士后科研流动站或工作站工作且在站期间，申请参加专科层次依法自主招生考试的具体资格条件有哪些？需提供哪些证明材料？', '孩子不是本地户口，但爸妈有一个在本市做博士后还没出站，要是孩子已经毕业了想考专科自主招生，得准备啥材料啊？']","['父母是本市博士后流动站在站人员的非户籍往届生，报考专科自主招生需满足哪些条件并提供什么证明？', '非本市户籍考生若以父母在站博士后的身份报考专科自主招生，往届毕业生的学历要求和必要材料是什么？', '本市博士后工作站在站人员的非户籍子女作为往届生，申请专科自主招生需符合哪些资格及提交哪些文件？']",580
高考学考,专科自主招生,报名篇,问：非本市户籍考生，梅山、大屯、鲁矿三地上海后方基地单位职工子女，应届毕业生专科层次依法自主招生考试报考资格有哪些要求？答：要求参加本市中招且具有本市高中阶段完整学习经历；有关证明：无；由市教委锁定学生名单,"['(非本市户籍考生，梅山、大屯、鲁矿三地上海后方基地单位职工子女，应届毕业生,专科层次依法自主招生考试报考条件,要求参加本市中招且具有本市高中阶段完整学习经历；有关证明：无；由市教委锁定学生名单)']",581,"['非本市户籍且为梅山、大屯、鲁矿三地上海后方基地单位职工子女的应届毕业生，报考专科层次依法自主招生考试需满足哪些资格条件？', '非沪籍后方基地职工子女报考专科自主招生有何要求？', '请问非上海市户籍的应届毕业生，若父母是梅山、大屯或鲁矿上海后方基地单位的职工，在参加专科层次依法自主招生考试时，需要符合哪些具体报考资格？是否需提供额外证明文件？', '如果爸妈是梅山、大屯那些上海后方基地单位的职工，但不是上海户口，孩子要考专科自主招生的话，需要满足啥条件啊？']","['梅山、大屯、鲁矿的上海后方基地职工非户籍子女，报考专科自主招生需满足哪些条件？', '上海后方基地单位职工的非本地户籍应届生，报考专科自主招生是否需要提交额外证明材料？', '市教委如何确认上海后方基地单位职工子女的自主招生考试资格？']",581
高考学考,专科自主招生,报名篇,问：非本市户籍考生，梅山、大屯、鲁矿三地上海后方基地单位职工子女，往届毕业生专科层次依法自主招生考试报考资格有哪些要求？答：要求参加本市中招且具有本市高中阶段完整学习经历；有关证明：无；由市教委锁定学生名单,"['(非本市户籍考生，梅山、大屯、鲁矿三地上海后方基地单位职工子女，往届毕业生,专科层次依法自主招生考试报考条件,要求参加本市中招且具有本市高中阶段完整学习经历；有关证明：无；由市教委锁定学生名单)']",582,"['非本市户籍且属于梅山、大屯、鲁矿三地上海后方基地单位职工子女的往届毕业生，报考专科层次依法自主招生考试需满足哪些资格要求？', '非沪籍三地职工子女往届生报考专科自主招生有何条件？', '对于非本市户籍的往届毕业生，若其父母是梅山、大屯或鲁矿上海后方基地单位的职工，在申请专科层次依法自主招生考试时，需要符合哪些具体规定？是否需要额外提交证明材料？', '我是外地户口，爸妈在梅山那边工作，现在想以往届生的身份报专科自主招生考试，得满足啥要求啊？']","['往届非本市户籍的梅山、大屯、鲁矿上海后方基地职工子女报考专科自主招生，需符合哪些条件？', '报考专科自主招生时，梅山等三地上海后方基地职工子女是否需要提交额外证明材料？', '非本市户籍的往届毕业生报考专科自主招生，其资格如何由相关部门确认？']",582
高考学考,专科自主招生,报名篇,问：非本市户籍考生，持积分未达到标准分值的《上海市居住证》人员的同住子女，应届毕业生专科层次依法自主招生考试报考资格有哪些要求？答：要求参加本市全日制普通中等职业学校自主招生考试且被本市中职学校录取具有学籍的毕业生；有关证明：持证人上海市居住证，持证人与考生的身份证；由市教委锁定学生名单,"['(非本市户籍考生，持积分未达到标准分值的《上海市居住证》人员的同住子女，应届毕业生,专科层次依法自主招生考试报考条件,要求参加本市全日制普通中等职业学校自主招生考试且被本市中职学校录取具有学籍的毕业生；有关证明：持证人上海市居住证，持证人与考生的身份证；由市教委锁定学生名单)']",583,"['非本市户籍且居住证积分未达标的考生，其同住子女参加上海市应届毕业生专科层次自主招生考试的报考资格具体要求是什么？', '非沪籍积分不足的居住证持有者子女报考专科自主考试的条件？', '对于非上海市户籍、家长持有未达到标准分值的《上海市居住证》的应届毕业生子女，若想参加专科层次依法自主招生考试，需要满足哪些具体条件？例如是否必须被中职学校录取并具有学籍？需提交哪些证明材料（如居住证、身份证等）？', '如果家长是外地户口，在上海的居住证积分不够，孩子想报专科自主招生的话，得满足啥条件啊？是不是必须得先考上中职学校才行？']","['父母居住证积分未达标的非沪籍考生，其子女报考上海专科自主招生需满足哪些学籍条件？', '居住证积分不足的非本市户籍考生子女报考上海专科自主招生，需要提供哪些证明材料？', '上海市教委对积分未达标居住证持有人子女的专科自主招生资格审核有什么特殊要求？']",583
高考学考,专科自主招生,报名篇,问：非本市户籍考生，持积分未达到标准分值的《上海市居住证》人员的同住子女，往届毕业生专科层次依法自主招生考试报考资格有哪些要求？答：要求参加本市全日制普通中等职业学校自主招生考试且被本市中职学校录取具有学籍的毕业生；有关证明：持证人上海市居住证，持证人与考生的身份证，毕业证书；由市教委锁定学生名单,"['(非本市户籍考生，持积分未达到标准分值的《上海市居住证》人员的同住子女，往届毕业生,专科层次依法自主招生考试报考条件,要求参加本市全日制普通中等职业学校自主招生考试且被本市中职学校录取具有学籍的毕业生；有关证明：持证人上海市居住证，持证人与考生的身份证，毕业证书；由市教委锁定学生名单)']",584,"['请说明非本市户籍且持未达标准分值的《上海市居住证》人员同住子女作为往届毕业生，报考专科层次依法自主招生考试所需满足的资格条件及应提交的证明材料。', '非沪籍居住证积分不足的往届生子女报考上海专科自主招生需哪些条件？', '对于父母持有上海市居住证但积分未达到规定标准的外地户籍往届毕业生，若想报考上海市专科层次依法自主招生考试，具体需要满足哪些学籍、考试经历等资格要求？需提供哪些身份证明和学历材料？', '孩子爸妈的上海居住证积分不够的话，往届生考专科自主招生有啥要求？要带哪些证件去报名啊？']","['非本市户籍往届毕业生报考专科自主招生时，需提供哪些证明材料？', '持未达标积分上海居住证的往届生报考专科自主招生，需满足哪些资格条件？', '被上海中职学校录取的非沪籍往届毕业生报考专科层次自主招生考试，需要哪些审核材料？']",584
高考学考,专科自主招生,报名篇,问：非本市户籍考生，本市新疆、西藏中职班的应届毕业生专科层次依法自主招生考试报考资格有哪些要求？答：本市高中阶段完整学习经历；由市教委锁定学生名单,"['(非本市户籍考生，本市新疆、西藏中职班的应届毕业生,专科层次依法自主招生考试报考条件,本市高中阶段完整学习经历；由市教委锁定学生名单)']",585,"['""非本市户籍考生中属于本市新疆、西藏中职班的应届毕业生，报考专科层次依法自主招生考试需要满足哪些资格条件？""', '""非本市户籍新疆西藏中职班应届生报考专科自主招生有什么条件？""', '""根据相关招生政策，非本市户籍但在本市新疆、西藏中职班就读的应届毕业生，在申请专科层次依法自主招生考试时，需要符合哪些具体的资格要求？例如学籍、年限等条件。""', '""哎，如果我不是本地户口，但在上海的新疆中职班上学，想考那个专科自主招生的话，需要满足啥条件啊？有没有什么特别的要求？""']","['非本市户籍的新疆、西藏中职班应届毕业生报考专科层次自主招生需满足哪些条件？', '非本地户籍的新疆西藏中职班学生报考专科依法自主招生考试需要什么资格？', '非本市户籍的新疆西藏中职班应届生参加专科自主招生考试需符合哪些规定？']",585
高考学考,专科自主招生,报名篇,问：报名专科层次依法自主招生后，还可以同时报考三校生高考吗？答：符合报名条件的考生可以同时报考三校生高考。若被专科自主招生院校录取，不再参加三校生高考。,"['(符合条件的考生, 可以同时报考, 三校生高考)', '(专科自主招生院校, 录取, 考生)', '(被专科自主招生院校录取的考生, 不再参加, 三校生高考)']",586,"['""在报名专科层次依法自主招生后，是否仍具备同时报考三校生高考的资格？""', '""专科自主招生和三校生高考能同时报吗？""', '""如果考生已经报考了专科层次的依法自主招生，在符合条件的情况下还能报名参加当年的三校生高考吗？若被专科录取是否会影响后续考试资格？""', '""哎，要是我先报了专科那个自主招生，之后还能不能考三校生高考啊？会不会被影响？""']","['如果参加了专科自主招生，还能报考三校生高考吗？', '被专科层次自主招生录取的考生是否还能参加三校生高考？', '专科自主招生和三校生高考的报考有冲突吗？']",586
高考学考,专科自主招生,报名篇,问：报报名专科层次依法自主招生后，还可以同时报考秋考吗？答：符合报名条件的考生可以同时报考秋考。若被专科自主招生院校录取，不再参加秋考。,"['(考生, 可同时报考, 秋考)', '(专科自主招生院校, 录取, 考生)', '(被专科自主招生院校录取的考生, 不再参加, 秋考)']",587,"['报考专科层次依法自主招生后，是否仍具备报考秋季高考的资格？', '专科自主招生和秋考能同时报吗？', '如果考生已报名专科层次的依法自主招生，在满足条件的情况下，是否允许继续参加秋季高考？若被专科录取会有什么后续影响？', '哎，如果我报了专科自主招生，之后还能接着报秋考不？要是录了专科会不会就不能考了？']","['如果已经报名专科自主招生，还能继续参加秋季高考吗？', '专科自主招生和秋季高考的报考是否存在冲突？', '被专科自主招生院校录取后，是否会影响秋季高考的资格？']",587
高考学考,专科自主招生,报名篇,"问：考生目前是专科大一新生，满足2024年高考报名条件。对于当前的学校和专业不满意。还可以重新报名专科层次依法自主招生吗？答：见秋考15问——不属于报名对象的人员包括（1）具有普通高等学历教育资格的高校在校生，或已被普通高校录取并保留入学资格的学生（大学在籍）；
（2）高中阶段学校非应届毕业的在校生（高一、高二年级。三校生一、二年级等）；
（3）在高中阶段非应届毕业年份以弄虚作假手段报名并违规参加普通高校招生考试（包括全国统考、省级统考和高校单独组织的招生考试）的应届毕业生；
（4）因违反国家教育考试规定，被给予暂停参加普通高校招生考试处理且在停考期内的人员；
（5）因触犯刑法已被有关部门采取强制措施或正在服刑者，其中，未成年人按相关法律规定执行。","['(报名对象, 不包括, 普通高等学历教育资格的高校在校生)', '(报名对象, 不包括, 已被普通高校录取并保留入学资格的学生)', '(报名对象, 不包括, 高中阶段学校非应届毕业生)', '(报名对象, 不包括, 弄虚作假报名并违规参加普通高校招生考试的考生)', '(报名对象, 不包括, 违反国家教育考试规定且在停考期内的人员)', '(报名对象, 不包括, 触犯刑法并被采取强制措施或正在服刑者)']",588,"['作为专科大一新生且符合2024年高考报名条件，若对当前学校和专业不满意，是否仍有资格重新报考专科层次的依法自主招生？', '专科在读生能否重新参加自主招生？', '我目前是专科院校的大一学生，已满足2024年高考报名要求，但对自己录取的学校和专业感到不满意。这种情况下，是否还能再次报名参加专科层次的依法自主招生？是否符合政策中关于“高校在籍生不得报考”的限制？', '我专科刚上大一，现在后悔选这个专业了，还能不能重新报一次自主招生啊？会不会因为已经上大学了不让考？']","['大学在籍学生是否有资格参加2024年的专科层次依法自主招生？', '已被普通高校录取并保留入学资格的学生能否重新报考专科自主招生？', '保留大学学籍的学生是否可以报名专科依法自主招生？']",588
高考学考,专科自主招生,报名篇,问：考生目前是成人高校的学生，满足2024年高考报名条件。对于当前非全日制学校不满意。是否可以报考专科层次依法自主招生报考进全日制学校？答：可以报考，但须在规定时间自行办理完原学籍退学手续，否则不予注册全日制学籍。注：2024年需在3月30日前退出学籍。,"['(考生, 就读于, 成人高校)', '(考生, 满足, 2024年高考报名条件)', '(考生, 可以报考, 专科自主招生)', '(专科自主招生, 可录取至, 全日制学校)', '(考生, 需办理, 原学籍退学手续)', '(报考专科层次依法自主招生, 退学手续截止日期, 2024年3月30日)', '(原学籍退学手续, 必须完成, 注册全日制学籍)']",589,"['""作为成人高校在读学生，若已满足2024年高考报名条件并对当前非全日制学习状态不满，是否有资格报考专科层次全日制依法自主招生？相关学籍变更手续有何要求？""', '""成人高校在读生能报全日制专科自主招生吗？需退学吗？""', '""请问目前就读于成人高校且符合2024年高考报名条件的考生，如果对非全日制学习模式不满意，是否允许通过专科层次依法自主招生转入全日制学校？若允许，原学籍处理流程和截止时间具体如何规定？""', '""哎，我现在读的成人大学是非全日制的，实在不喜欢这种模式。如果明年想通过自主招生考个全日制专科，能行不？是不是得先把现在这个学校退掉啊？有没有退学的时间限制？""']","['非全日制成人高校学生若想通过2024年专科自主招生转入全日制学校，最晚何时需处理原学籍？', '2024年专科自主招生中，成人高校在读生能否保留原学籍同时注册全日制学籍？', '参加2024年专科层次自主招生的成人高校学生，需在何时前完成哪些手续才能确保全日制入学资格？']",589
高考学考,专科自主招生,报名篇,问：每年大概什么时候开始专科层次依法自主招生志愿填报？答：考生可以关注“上海招考热线”网站（www.shmeea.edu.cn）—首页—高考学考—专科自主招生栏目发布的“20XX年上海市部分普通高校专科自主招生志愿填报即将开始”相关信息。注：2024年专科层次依法自主招生志愿填报时间3月8日9:00-21:00、3月9日9:00-15:00。,"['(高考学考, 包含子栏目, 专科自主招生)']",590,"['每年专科层次依法自主招生志愿填报的具体时间是什么时候？', '专科自主招生志愿填报时间？', '每年专科层次依法自主招生志愿填报的时间安排是怎样的？考生需要通过哪些官方渠道获取最新通知？例如2024年的填报日期是哪天？', '专科自主招生填志愿一般几月份开始啊？今年是不是3月8号那会儿？']","['2024年上海专科自主招生志愿填报的具体时间段是什么时候？', '如何查询上海专科自主招生志愿填报的开放日期？', '专科层次依法自主招生志愿填报的渠道和时间安排在哪里公布？']",590
高考学考,专科自主招生,考试篇,问：专科自主招生的考试在什么时候？答：各招生院校制定的各项测试日期一般定于每年3月下旬，请考生以获取的准考证上的信息为准。注：2024年考试时间在3月23日8:30起。,"['(招生高校, 制定, 测试日期)', '(专科自主招生考试, 测试日期, 每年3月下旬)', '(考生, 需获取, 准考证)', '(准考证, 注明, 测试日期)']",591,"['专科自主招生考试的具体时间安排是什么？', '专科自招考试时间？', '各专科院校自主招生的考试通常安排在每年的什么时间段？2024年的具体考试日期和开始时间是什么时候？', '哎，专科自主招生考试啥时候考啊？今年是3月23号吗？']","['2024年专科自主招生考试的具体日期是哪天？', '如何查询专科自主招生考试的具体时间安排？', '专科自主招生考试通常安排在每年的什么时间段？']",591
高考学考,专科自主招生,考试篇,问：准考证什么时候可以下载？怎样下载？答：已经报名缴费成功的考生请关注志愿院校的公告，以公告信息为准。,"['(考生, 需要完成, 报名缴费)', '(志愿学校, 发布, 公告)']",592,"['""请问准考证的下载时间及下载方式是什么？""', '""准考证下载时间和方法？""', '""我已经完成报名并缴费成功，请问何时可以下载准考证？具体的下载步骤是怎样的？是否需要通过特定渠道获取？""', '""准考证啥时候能下载啊？具体咋操作？是不是得看学校通知？""']","['如何查询准考证的下载时间和方法？', '在哪里可以找到准考证下载的具体信息？', '缴费成功后，考生应通过什么途径获取准考证？']",592
高考学考,专科自主招生,考试篇,问：专科自主招生的考试不是由上海教育考试院负责吗？答：专科自主招生的考试由各院校组织负责。,"['(专科自主招生考试, 组织者, 各院校)']",593,"['""专科自主招生考试的负责机构是上海教育考试院吗？""', '""专科自主招生考试由谁负责？""', '""上海教育考试院是否参与专科自主招生的组织和实施？这类考试的具体管理单位是什么？""', '""哎，专科自主招生是不是上海教育考试院在管啊？对吧？""']","['专科自主招生考试的组织方是哪个机构？', '各院校是否需要自行组织专科自主招生考试？', '上海教育考试院是否负责专科自主招生的考试工作？']",593
高考学考,专科自主招生,志愿篇,问：专科层次依法自主招生志愿填报在考试前还是考试后？答：专科层次依法自主招生志愿填报在先，考试在后。,"['(考生填报志愿, 先于, 考试)']",594,"['专科层次依法自主招生的志愿填报是在考试之前进行还是在考试之后进行？', '专科自主招生先填志愿还是先考试？', '在专科层次的依法自主招生流程中，志愿填报的具体时间节点是怎样的？是否需要在参加考试前完成志愿提交，还是考试结束后再填报？', '专科那个自主招生，志愿得先填完再考试对吧？']","['专科层次依法自主招生中，志愿填报和考试的先后顺序是怎样的？', '专科自主招生是先填报志愿还是先参加考试？', '考试结束后才进行专科层次依法自主招生的志愿填报吗？']",594
高考学考,专科自主招生,志愿篇,问：最多可以填报几个志愿？答：考生可填报1所院校志愿，最多可填报4个专业志愿，一般专业志愿与艺体类专业志愿之间不得兼报，同时须勾选是否服从专业调剂。,"['(考生, 最多可填报, 院校志愿)', '(考生, 最多可填报, 4个专业志愿)', '(一般专业志愿, 不得兼报, 艺体类专业志愿)', '(考生, 勾选, 是否服从专业调剂)']",595,"['""考生最多可以填报几个院校志愿和专业志愿？具体要求是什么？""', '""志愿填报数量上限？""', '""在填报志愿时，院校和专业的数量限制分别是多少？是否允许同时填报普通专业和艺体类专业？是否需要选择服从调剂？""', '""填志愿的时候，最多能选几个学校和专业？能混着报普通和艺体类的吗？还要选服从调剂吗？""']","['考生能填报多少所院校的志愿？', '每个院校最多可以填报几个专业志愿？', '普通专业和艺体类专业志愿能否同时填报？']",595
高考学考,专科自主招生,志愿篇,问：有哪些院校和专业？答：考生可以关注“上海招考热线”网站（www.shmeea.edu.cn）—首页—高考学考—专科自主招生栏目发布的“20XX年上海市部分普通高校专科自主招生志愿填报即将开始”公告附件《20XX年专科自主招生专业目录》。注：2024年专科自主招生专业目录https://www.shmeea.edu.cn/download/20230308/101.pdf。,"['(上海招考热线网站, 包含栏目, 高考学考)', '(上海市教育考试院报名网站, 发布, 20XX年专科自主招生专业目录)', '(20XX年上海市部分普通高校专科自主招生志愿填报即将开始, 包含附件, 20XX年专科自主招生专业目录)']",596,"['如何查询上海市专科自主招生的院校及专业信息？', '上海专科自主招生院校和专业哪里找？', '作为考生，我应该通过哪些官方渠道获取2024年上海市专科自主招生的院校名单及相关专业目录？', '上海专科自主招生的学校和专业去哪查啊？有没有官网可以直接看？']","['如何查询上海专科自主招生的院校和专业信息？', '哪里可以下载最新的专科自主招生专业目录？', '2024年上海专科自主招生的专业目录在哪里查看？']",596
高考学考,专科自主招生,志愿篇,问：参加专科自主招生的院校只有上海的吗？答：是的。,"['(专科自主招生, 参与院校地区限定, 上海)', '(上海院校, 参与, 专科自主招生)', '(专科自主招生院校, 所在地, 上海)']",597,"['""请问专科自主招生是否仅限于上海的院校？""', '""专科自主招生院校全是上海的吗？""', '""目前国内哪些地区的院校可以开展专科自主招生？是否只有上海的高校具备这一资格？""', '""哎，专科自主招生的学校是不是只有上海有啊？""']","['专科自主招生是否仅限上海的高校？', '除了上海，其他省份有专科自主招生的院校吗？', '专科自主招生的院校都是上海本地的吗？']",597
