问题,来源,考试类型
上海三校生高考志愿填报的通知和高校信息应通过什么渠道查看？,544,['高考学考_三校生高考']
三校生的招生院校是否全部位于上海地区？,545,['高考学考_三校生高考']
是否有三校生招生院校不在上海？,545,['高考学考_三校生高考']
三校生只能报考上海本地的院校吗？,545,['高考学考_三校生高考']
每位考生最多可以填报多少所招生院校？,546,['高考学考_秋考']
如果招生院校同时有本科和高职（专科）计划，每个院校能填报多少专业志愿？,546,['高考学考_秋考']
考生填报单一类型招生计划的院校时，最多能报几个专业志愿？,546,['高考学考_专科自主招生']
三校生高考的志愿录取方式是平行志愿还是顺序志愿？,547,['高考学考_三校生高考']
如果三校生高考第一志愿未被录取，第二志愿会如何处理？,547,['高考学考_三校生高考']
三校生高考的志愿投档规则是怎样的？,547,['高考学考_三校生高考']
报考三校生的艺术类专业需要满足什么条件？,548,"['高考学考_三校生高考', '高考学考_艺术类统一考试']"
哪里可以查询上海三校生招生院校的艺术类专业信息？,548,['高考学考_三校生高考']
艺术类三校生志愿填报有什么特殊要求？,548,"['高考学考_艺术类统一考试', '高考学考_三校生高考']"
2024年三校生高考征求志愿什么时候填报？,549,['高考学考_三校生高考']
哪里可以查看三校生高考征求志愿的公告信息？,549,['高考学考_三校生高考']
三校生高考的补报志愿时间是什么时候？,549,['高考学考_三校生高考']
2024年三校生招生征求志愿的缺额计划表在哪里下载？,550,['高考学考_三校生高考']
如何查看上海市普通高等学校面向中职毕业生的征求志愿公告？,550,['高考学考_三校生高考']
上海招考热线网站的哪个栏目可以找到征求志愿缺额信息？,550,['高考学考_秋考']
如何登录上海的征求志愿填报系统？,551,['高考学考_秋考']
征求志愿填报的初始密码是什么？,551,['高考学考_秋考']
每所院校的征求志愿最多可以填报几个专业？,551,['高考学考_秋考']
艺术类考生在征求志愿中可以填报非艺术类专业吗？,552,['高考学考_艺术类统一考试']
如果文化课成绩达标，艺术生能报非艺术类征求志愿吗？,552,['高考学考_艺术类统一考试']
填报征求志愿时，艺术类专业必须作为首选吗？,552,['高考学考_艺术类统一考试']
三校生高考是否设有最低录取文化控制分数线？,553,['高考学考_三校生高考']
2024年三校生高考的文化课最低录取分数要求是多少？,553,['高考学考_三校生高考']
艺术类和非艺术类三校生的文化控制分数线是否相同？,553,"['高考学考_艺术类统一考试', '高考学考_三校生高考']"
中本贯通转段考试的总分构成是否包含文化课和技能测试各占50%？,554,[]
中本贯通文化课成绩需要达到多少分才能具备录取资格？,554,['高考学考_中职校学业水平考试']
中本贯通转段考试的专业技能测试是否和文化课一样总分均为300分？,554,[]
如果考生第一志愿填报艺术类专业未被录取，还能参与非艺术类专业的投档吗？,555,['高考学考_艺术类统一考试']
当第一志愿是非艺术类专业时，后续所有志愿的录取分数线如何确定？,555,['高考学考_秋考']
艺术类考生文化课达到非艺术类分数线后，能否被其他非艺术类专业录取？,555,['高考学考_艺术类统一考试']
被大学录取后，如何转交纸质档案到高校？,556,['高考学考_秋考']
考生是否需要自行将档案交给录取的大学？,556,['高考学考_秋考']
转递录取后的个人档案需要联系哪个部门？,556,[]
"""参加上海专科自主招生需要符合哪些文件的要求？""",557,['高考学考_专科自主招生']
"""2024年专科层次自主招生的报考条件依据什么规定？""",557,['高考学考_专科自主招生']
"""报考上海专科依法自主招生需满足哪些政策文件中的条件？""",557,['高考学考_专科自主招生']
2024年上海专科自主招生中，非本市户籍往届毕业生需提供哪些证明材料？,558,['高考学考_专科自主招生']
驻外使领馆工作人员随任子女报考2024年专科自主招生需满足哪些条件？,558,['高考学考_专科自主招生']
哪些考生报考2024年上海专科自主招生时需要参照市教委或考试院锁定的名单？,558,['高考学考_专科自主招生']
"""本市户籍应届生报考专科自主招生需满足哪些条件和材料？""",559,['高考学考_专科自主招生']
"""作为本市高中应届毕业生，参加专科自主招生需要准备什么证明和资格文件？""",559,['高考学考_专科自主招生']
"""本市户籍考生报考专科层次自主招生时，需符合哪些基本要求和提交的证件？""",559,['高考学考_专科自主招生']
本市户籍的往届高中毕业生报考专科自主招生，需要提交哪些证明材料？,560,['高考学考_专科自主招生']
具备什么条件才能参加本市专科层次自主招生考试（针对户籍往届生）？,560,['高考学考_专科自主招生']
作为本市户籍的往届高中毕业生，报考专科自主招生需满足哪些基本要求和提供哪些文件？,560,['高考学考_专科自主招生']
"""非本市应届毕业生报考专科自主招生需满足哪些基本条件？""",561,['高考学考_专科自主招生']
"""户籍在本市的往届生报考专科自主招生需要提交哪些证明材料？""",561,['高考学考_专科自主招生']
"""本市户籍的非应届高中毕业生参加专科自主招生考试，资格要求是什么？""",561,['高考学考_专科自主招生']
非本市高中往届毕业生报考专科自主招生需要提交哪些证明材料？,562,['高考学考_专科自主招生']
户籍在本市但高中在外地就读的往届生，报考专科自主招生需满足什么条件？,562,['高考学考_专科自主招生']
专科依法自主招生考试对本市户籍往届生的学历和材料有什么要求？,562,['高考学考_专科自主招生']
驻外使领馆工作人员随任子女作为本市户籍应届生报考专科自主招生需提供哪些证明材料？,563,['高考学考_专科自主招生']
本市户籍的驻外使领馆随任子女应届生报考专科自主招生需满足哪些条件？,563,['高考学考_专科自主招生']
随任子女为上海户籍的应届毕业生报考专科层次自主招生时，需提交什么身份和学历相关文件？,563,['高考学考_专科自主招生']
驻外使领馆工作人员子女若户籍在本市且为往届生，报考专科自主招生需要提交哪些材料？,564,['高考学考_专科自主招生']
本市户籍的驻外使领馆随任子女往届毕业生，报考专科层次自主招生需符合哪些条件？,564,['高考学考_专科自主招生']
作为往届生的本市户籍驻外使领馆随任子女，报考专科自主招生应准备哪些证明文件？,564,['高考学考_专科自主招生']
非沪籍考生持积分达标的上海居住证人员子女，报考专科层次自主招生需满足哪些学历和户籍条件？,565,['高考学考_专科自主招生']
父母一方持有上海市居住证需满足何种年限要求，其子女才可报考应届专科自主招生？,565,['高考学考_专科自主招生']
积分达标的非本市户籍考生报考时需提供哪些身份及居住证明材料？,565,['中考中招_中考中招']
非沪籍往届毕业生报考上海专科自主招生，需满足哪些户籍和学籍条件？,566,['高考学考_专科自主招生']
持上海居住证积分达标的非户籍考生，报考专科自主招生需提供哪些证明材料？,566,['高考学考_专科自主招生']
父母一方持有上海居住证的非本市户籍考生，报考专科层次自主招生的资格要求是什么？,566,['高考学考_专科自主招生']
非本市户籍的海外人才居住证持有者子女，报考上海专科层次自主招生需满足哪些条件？,567,['高考学考_专科自主招生']
持《上海市海外人才居住证》的留学人员子女，应届毕业时报考专科自主招生需提供什么材料？,567,['高考学考_专科自主招生']
非上海户籍考生作为海外人才子女报考专科自主招生，资格审核由哪个部门负责？,567,['高考学考_专科自主招生']
持上海市海外人才居住证的留学人员子女，非本市户籍往届毕业生报考专科自主招生需要满足哪些学历条件？,568,['高考学考_专科自主招生']
非本市户籍考生持海外人才居住证报考专科自主招生，是否需要提交额外证明材料？,568,['高考学考_专科自主招生']
哪个部门负责确认持上海海外人才居住证的留学人员子女的报考资格？,568,['中考中招_中考中招']
持《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》的非本地户籍考生，报考专科层次自主招生需满足哪些条件？,569,['高考学考_专科自主招生']
留学人员的外籍子女申请参加本市专科自主招生考试，需要具备哪些学习经历和文件证明？,569,['高考学考_专科自主招生']
符合留学人员子女优惠政策的外籍考生报考本市专科招生考试，必须提供哪些材料并满足什么学习要求？,569,['高考学考_专科自主招生']
留学人员的持外国护照子女报考往届专科自主招生，需满足哪些2023年的资格条件？,570,['高考学考_专科自主招生']
持有市人社局出具的《优惠政策证明》的非本市户籍考生，报考专科层次自主招生需提供什么材料？,570,['高考学考_专科自主招生']
2023年非本市户籍往届生参加专科自主招生考试，需符合哪些报名库和证明要求？,570,['高考学考_专科自主招生']
父母一方是上海户籍的非本地考生，报考上海专科自主招生需满足哪些条件和提供什么证明？,571,['高考学考_专科自主招生']
非上海户籍但父母有本市户籍的应届生，报考专科自主招生需要哪些资格和材料？,571,['高考学考_专科自主招生']
应届生报考上海专科自主招生，若父母中一方属上海户籍，需具备哪些学习经历和提交哪些证件？,571,['高考学考_专科自主招生']
父母一方为上海户籍的非本地往届生报考专科自主招生，需要满足哪些条件？,572,['高考学考_专科自主招生']
2023年上海专科自主招生中，父母有本市户籍的非沪籍往届考生需提交什么证明？,572,['高考学考_专科自主招生']
非上海户籍往届生若父母一方属本市常住户口，报考专科层次自主招生需具备哪些资格？,572,['高考学考_专科自主招生']
父母一方被认定为驻沪机构工作人员的非沪籍应届生，报考专科自主招生需满足哪些学习经历条件？,573,['高考学考_专科自主招生']
非本市户籍考生报考上海专科自主招生，若父母属驻沪机构人员，是否需要提交额外证明材料？,573,['高考学考_专科自主招生']
驻沪机构工作人员的非沪籍子女报考专科自主招生，考生名单如何确认和下发？,573,['高考学考_专科自主招生']
非本市户籍往届生报考专科自主招生，若父母一方是上海认定的驻沪机构人员，需满足哪些报名条件？,574,['高考学考_专科自主招生']
驻沪机构工作人员的非沪籍往届生报考专科自主招生，是否需要提交相关证明材料？,574,['高考学考_专科自主招生']
如何确定父母为驻沪机构工作人员的非本市户籍往届生是否符合专科自主招生报考资格？,574,['高考学考_专科自主招生']
在沪台湾同胞作为应届毕业生报考专科自主招生考试，需要提供哪些身份证明材料？,575,['高考学考_专科自主招生']
港澳永久居民应届生参加上海专科层次自主招生考试，需满足哪些证件要求？,575,['高考学考_专科自主招生']
非上海户籍的港澳台应届生报考本市专科自主招生，资格条件包括哪些内容？,575,['高考学考_专科自主招生']
港澳往届毕业生报考上海专科自主招生需提供哪些身份证明材料？,576,['高考学考_专科自主招生']
台湾考生非上海户籍，报考专科层次自主招生需满足哪些条件？,576,['高考学考_专科自主招生']
非沪籍的港澳台往届生报考上海专科自主招生，学历和证件要求是什么？,576,['高考学考_专科自主招生']
外籍非沪籍应届生报考上海专科自主招生需要提供哪些证明材料？,577,['高考学考_专科自主招生']
在沪定居的外国学生报考专科层次依法自主招生需满足什么学历条件？,577,['高考学考_专科自主招生']
持有上海签发永久居留证的外籍应届毕业生，申请专科自主招生需符合哪些要求？,577,['高考学考_专科自主招生']
外籍往届毕业生报考上海专科自主招生考试需要满足哪些条件和提供什么证明？,578,['高考学考_专科自主招生']
持上海签发的外国人永久居留身份证的非本地户籍考生，报考专科层次自主招生需具备哪些资格？,578,['高考学考_专科自主招生']
在沪定居的外国往届毕业生申请专科自主招生考试，学历和身份材料有何要求？,578,['高考学考_专科自主招生']
父母一方在本市博士后流动站工作的非本地户籍应届生，报考专科自主招生需满足什么条件？,579,['高考学考_专科自主招生']
非本市户籍考生若家长是本市在站博士后，参加专科自主招生需要哪些材料？,579,['高考学考_专科自主招生']
本市博士后工作站在站人员子女为非本地户籍应届生，申请专科层次自主招生的资格要求是什么？,579,['高考学考_专科自主招生']
父母是本市博士后流动站在站人员的非户籍往届生，报考专科自主招生需满足哪些条件并提供什么证明？,580,['高考学考_专科自主招生']
非本市户籍考生若以父母在站博士后的身份报考专科自主招生，往届毕业生的学历要求和必要材料是什么？,580,['高考学考_专科自主招生']
本市博士后工作站在站人员的非户籍子女作为往届生，申请专科自主招生需符合哪些资格及提交哪些文件？,580,['高考学考_专科自主招生']
梅山、大屯、鲁矿的上海后方基地职工非户籍子女，报考专科自主招生需满足哪些条件？,581,['高考学考_专科自主招生']
上海后方基地单位职工的非本地户籍应届生，报考专科自主招生是否需要提交额外证明材料？,581,['高考学考_专科自主招生']
市教委如何确认上海后方基地单位职工子女的自主招生考试资格？,581,['高考学考_专科自主招生']
往届非本市户籍的梅山、大屯、鲁矿上海后方基地职工子女报考专科自主招生，需符合哪些条件？,582,['高考学考_专科自主招生']
报考专科自主招生时，梅山等三地上海后方基地职工子女是否需要提交额外证明材料？,582,['高考学考_专科自主招生']
非本市户籍的往届毕业生报考专科自主招生，其资格如何由相关部门确认？,582,['高考学考_专科自主招生']
父母居住证积分未达标的非沪籍考生，其子女报考上海专科自主招生需满足哪些学籍条件？,583,['高考学考_专科自主招生']
居住证积分不足的非本市户籍考生子女报考上海专科自主招生，需要提供哪些证明材料？,583,['高考学考_专科自主招生']
上海市教委对积分未达标居住证持有人子女的专科自主招生资格审核有什么特殊要求？,583,['高考学考_专科自主招生']
非本市户籍往届毕业生报考专科自主招生时，需提供哪些证明材料？,584,['高考学考_专科自主招生']
持未达标积分上海居住证的往届生报考专科自主招生，需满足哪些资格条件？,584,['高考学考_专科自主招生']
被上海中职学校录取的非沪籍往届毕业生报考专科层次自主招生考试，需要哪些审核材料？,584,['高考学考_专科自主招生']
非本市户籍的新疆、西藏中职班应届毕业生报考专科层次自主招生需满足哪些条件？,585,['高考学考_专科自主招生']
非本地户籍的新疆西藏中职班学生报考专科依法自主招生考试需要什么资格？,585,['高考学考_专科自主招生']
非本市户籍的新疆西藏中职班应届生参加专科自主招生考试需符合哪些规定？,585,['高考学考_专科自主招生']
如果参加了专科自主招生，还能报考三校生高考吗？,586,"['高考学考_专科自主招生', '高考学考_三校生高考']"
被专科层次自主招生录取的考生是否还能参加三校生高考？,586,"['高考学考_专科自主招生', '高考学考_三校生高考']"
专科自主招生和三校生高考的报考有冲突吗？,586,"['高考学考_专科自主招生', '高考学考_三校生高考']"
如果已经报名专科自主招生，还能继续参加秋季高考吗？,587,"['高考学考_秋考', '高考学考_专科自主招生']"
专科自主招生和秋季高考的报考是否存在冲突？,587,"['高考学考_秋考', '高考学考_专科自主招生']"
被专科自主招生院校录取后，是否会影响秋季高考的资格？,587,"['高考学考_秋考', '高考学考_专科自主招生']"
大学在籍学生是否有资格参加2024年的专科层次依法自主招生？,588,['高考学考_专科自主招生']
已被普通高校录取并保留入学资格的学生能否重新报考专科自主招生？,588,['高考学考_专科自主招生']
保留大学学籍的学生是否可以报名专科依法自主招生？,588,['高考学考_专科自主招生']
非全日制成人高校学生若想通过2024年专科自主招生转入全日制学校，最晚何时需处理原学籍？,589,['高考学考_专科自主招生']
2024年专科自主招生中，成人高校在读生能否保留原学籍同时注册全日制学籍？,589,['高考学考_专科自主招生']
参加2024年专科层次自主招生的成人高校学生，需在何时前完成哪些手续才能确保全日制入学资格？,589,['高考学考_专科自主招生']
2024年上海专科自主招生志愿填报的具体时间段是什么时候？,590,['高考学考_专科自主招生']
如何查询上海专科自主招生志愿填报的开放日期？,590,['高考学考_专科自主招生']
专科层次依法自主招生志愿填报的渠道和时间安排在哪里公布？,590,['高考学考_专科自主招生']
2024年专科自主招生考试的具体日期是哪天？,591,['高考学考_专科自主招生']
如何查询专科自主招生考试的具体时间安排？,591,['高考学考_专科自主招生']
专科自主招生考试通常安排在每年的什么时间段？,591,['高考学考_专科自主招生']
如何查询准考证的下载时间和方法？,592,[]
在哪里可以找到准考证下载的具体信息？,592,[]
缴费成功后，考生应通过什么途径获取准考证？,592,[]
专科自主招生考试的组织方是哪个机构？,593,['高考学考_专科自主招生']
各院校是否需要自行组织专科自主招生考试？,593,['高考学考_专科自主招生']
上海教育考试院是否负责专科自主招生的考试工作？,593,['高考学考_专科自主招生']
专科层次依法自主招生中，志愿填报和考试的先后顺序是怎样的？,594,['高考学考_专科自主招生']
专科自主招生是先填报志愿还是先参加考试？,594,['高考学考_专科自主招生']
考试结束后才进行专科层次依法自主招生的志愿填报吗？,594,['高考学考_专科自主招生']
考生能填报多少所院校的志愿？,595,['高考学考_秋考']
每个院校最多可以填报几个专业志愿？,595,['高考学考_秋考']
普通专业和艺体类专业志愿能否同时填报？,595,['高考学考_秋考']
如何查询上海专科自主招生的院校和专业信息？,596,['高考学考_专科自主招生']
哪里可以下载最新的专科自主招生专业目录？,596,['高考学考_专科自主招生']
2024年上海专科自主招生的专业目录在哪里查看？,596,['高考学考_专科自主招生']
专科自主招生是否仅限上海的高校？,597,['高考学考_专科自主招生']
除了上海，其他省份有专科自主招生的院校吗？,597,['高考学考_专科自主招生']
专科自主招生的院校都是上海本地的吗？,597,['高考学考_专科自主招生']
自主招生中艺体类志愿能否与一般专业同时报考？,598,['高考学考_专科自主招生']
报考专科自主招生的艺术类专业是否允许兼报普通专业？,598,['高考学考_专科自主招生']
艺体类专业在专科自主招生中能否与其他专业同时填报？,598,['高考学考_专科自主招生']
志愿填报信息是否允许在截止时间后修改？,599,"['高考学考_秋考', '高考学考_春考', '中考中招_中考中招', '研考成考_研究生招生考试']"
考生能否在志愿填报期结束后调整志愿？,599,"['高考学考_秋考', '中考中招_中考中招']"
过了志愿填报期限还能补填或修改志愿吗？,599,['高考学考_秋考']
专科自主招生的录取结果在哪里可以查到？,600,['高考学考_专科自主招生']
如何获取专科自主招生录取结果的具体公布时间？,600,['高考学考_专科自主招生']
考生应该通过什么途径查询专科自主招生的录取信息？,600,['高考学考_专科自主招生']
专科自主招生通常可以填报几次征求志愿？,601,['高考学考_专科自主招生']
专科自主招生中征求志愿的机会有几次？,601,['高考学考_专科自主招生']
关于专科自主招生，征求志愿的次数一般是几次？,601,['高考学考_专科自主招生']
上海市专科自主招生征求志愿的填报时间安排是怎样的？,602,['高考学考_专科自主招生']
专科自主招生是否有第二次征求志愿的填报机会？具体时间是什么时候？,602,['高考学考_专科自主招生']
如何查询上海市专科自主招生征求志愿的最新公告信息？,602,['高考学考_专科自主招生']
志愿填报需要访问哪个网站？,603,['高考学考_秋考']
上海招考热线网站的网址是什么？,603,[]
在哪个网页模块可以提交志愿信息？,603,['高考学考_秋考']
专科自主招生征求志愿的录取结果如何查询？,604,['高考学考_专科自主招生']
哪里可以找到专科征求志愿的录取结果信息？,604,['高考学考_专科自主招生']
自主招生征求志愿的录取结果发布在什么平台？,604,['高考学考_专科自主招生']
普通高中学业水平合格性考试中如果有科目未通过，是否仍算成绩齐全？,605,['高考学考_高中学业水平考试']
部分科目不合格的高中学业水平考试成绩是否属于齐全范围？,605,['高考学考_高中学业水平考试']
如果普通高中学业合格考有一门没及格，是否仍算符合成绩齐全要求？,605,['高考学考_高中学业水平考试']
针对普通高中应届毕业生，专科自主招生的录取依据包含哪些内容？,606,['高考学考_专科自主招生']
中等职业学校应届毕业生在专科自主招生中需要参加哪些测试？,606,['高考学考_专科自主招生']
高中往届毕业生和部分社会人员如何通过专科自主招生被录取？,606,['高考学考_专科自主招生']
合格性考试的科目包括哪些？,607,['高考学考_高中学业水平考试']
高中学业水平考试分为哪两种类型？,607,['高考学考_高中学业水平考试']
等级性考试具体包含哪些学科？,607,['高考学考_高中学业水平考试']
哪些人群符合合格性考试的报名资格？,608,['高考学考_高中学业水平考试']
社会人员报考合格考需要满足哪些条件？,608,['高考学考_高中学业水平考试']
本市外籍学生能否报考合格性考试？,608,['高考学考_高中学业水平考试']
本市普通高中学生如何通过学校报考学业水平考试？,609,['高考学考_高中学业水平考试']
高中学业水平考试每年有几次报名机会？具体时间段是什么时候？,609,['高考学考_高中学业水平考试']
外籍学生能否通过所在学校集体报名高中学业水平考试？,609,['高考学考_高中学业水平考试']
上海高中学业水平考试的网上报名通道是什么？,610,['高考学考_高中学业水平考试']
非在校生如何完成高中学业水平考试的报名？,610,['高考学考_高中学业水平考试']
考生需要通过哪个网站进行高中学业水平考试的在线报名？,610,['高考学考_高中学业水平考试']
高中学业水平考试报名后必须进行确认吗？,611,['高考学考_高中学业水平考试']
在籍学生和其他考生的高中学考报名确认方式有何不同？,611,['高考学考_高中学业水平考试']
如果不进行现场确认，高中学业水平考试的报名是否有效？,611,['高考学考_高中学业水平考试']
首次报名后，考生登录系统时应使用什么信息？,612,[]
学业水平考试的报名号是如何获取的？,612,"['高考学考_高中学业水平考试', '高考学考_中职校学业水平考试']"
若需修改系统内的姓名或证件号码，需要提交哪些材料？,612,[]
6月高中学业水平合格性考试包含哪些考试科目？不同年级学生的报考范围是什么？,613,['高考学考_高中学业水平考试']
哪些学生必须参加6月的合格性考试？休学学生是否允许报考？,613,['高考学考_高中学业水平考试']
高一学生与其他年级学生在合格性考试科目选择上有何区别？,613,['高考学考_高中学业水平考试']
"""一月份的高中学业水平合格性考试包含哪些学科？""",614,['高考学考_高中学业水平考试']
"""高中学业水平合格性考试1月有几门科目开考？""",614,['高考学考_高中学业水平考试']
"""语文、数学等9门科目的合格性考试安排在几月份？""",614,['高考学考_高中学业水平考试']
哪些考生有资格报考1月合格性考试的政治、历史等六个科目？,615,['高考学考_高中学业水平考试']
如果考生此前未通过或缺考相关科目，能否参加1月的合格性考试？,615,['高考学考_高中学业水平考试']
高三学生和已报名高考的考生如何补考未合格的思想政治、化学等科目？,615,['高考学考_高中学业水平考试']
哪些学生有资格参加1月份的语文、数学和外语合格性考试？,616,['高考学考_高中学业水平考试']
报考1月学业水平考试的语文、数学、外语科目需要满足哪些条件？,616,['高考学考_高中学业水平考试']
哪些高三学生被允许报名一月份的语文、数学、外语合格考？,616,['高考学考_高中学业水平考试']
春考或秋季高考的哪些科目成绩可以替代合格性考试成绩？,617,"['高考学考_春考', '高考学考_秋考']"
上海高中生用高考成绩替代合格考后，成绩如何显示？,617,['高考学考_高中学业水平考试']
具备什么条件的学生可以用高考成绩替代语数外合格考？,617,"['高考学考_秋考', '高考学考_高中学业水平考试']"
合格考外语科目的语种选择是否由考生自主决定？,618,['高考学考_高中学业水平考试']
如果高中外语课程是日语，合格考外语科目会考日语吗？,618,['高考学考_高中学业水平考试']
合格考的外语考试语种能否选择西班牙语或其他非英语语种？,618,['高考学考_高中学业水平考试']
国际课程班的学生必须参加哪些科目的合格性考试？,619,[]
申请毕业证书时，国际课程班的学生需要满足什么考试条件？,619,[]
国际课程班的学生要获得毕业证，必须通过哪几门合格性考试？,619,['高考学考_高中学业水平考试']
学生运动员需要参加多少门合格性考试才能毕业？,620,['高考学考_高中学业水平考试']
学生运动员的哪些科目是合格性考试的必考项？,620,['高考学考_高中学业水平考试']
学生运动员获得毕业证书的条件包括哪些考试要求？,620,['高考学考_高中学业水平考试']
合格性考试的“合格”成绩是否有期限限制？,621,['高考学考_高中学业水平考试']
通过合格性考试后，成绩会失效吗？,621,['高考学考_高中学业水平考试']
是否需要定期重新参加合格性考试以保持成绩有效？,621,['高考学考_高中学业水平考试']
普通高中在校生哪些科目不合格可以参加统一补考？,622,['高考学考_高中学业水平考试']
合格性考试补考的时间安排是什么时候？,622,['高考学考_高中学业水平考试']
其他考生若地理科目不合格，如何申请补考？,622,['高考学考_高中学业水平考试']
中职校学考成绩能否与普通高中学考成绩互相替代？,623,"['高考学考_中职校学业水平考试', '高考学考_高中学业水平考试']"
高中学业水平考试和中职校学业水平考试成绩是否等效？,623,"['高考学考_高中学业水平考试', '高考学考_中职校学业水平考试']"
能否用中职校的学业水平考试成绩来替代高中阶段的学考成绩？,623,['高考学考_中职校学业水平考试']
外省市的合格性考试成绩申请上海认定时需提交哪些材料？,624,['高考学考_高中学业水平考试']
哪些高中学业水平考试科目可以在上海申请成绩认定？,624,['高考学考_高中学业水平考试']
如果已通过外省市成绩认定，能否再参加上海对应科目的合格性考试？,624,['高考学考_高中学业水平考试']
外省市合格考成绩认定的申请流程是什么？,625,['高考学考_高中学业水平考试']
本市高中在校生和其他考生在申请成绩认定时需要准备哪些材料？,625,['高考学考_高中学业水平考试']
在哪里可以查询外省市合格考成绩认定的具体时间？,625,['高考学考_高中学业水平考试']
如果考生在1月合格考已经完成外省市成绩认定申请，3月报名还需要重复提交吗？,626,['高考学考_高中学业水平考试']
3月报考期间，此前通过外省市成绩认定的考生是否要重新提交申请？,626,['自学考试_自学考试']
考生在1月已办理外省市成绩认定的情况下，后续报考是否需要再次提交同一材料？,626,['高考学考_高中学业水平考试']
"""如果考生想参加1月份的语文数学合格考和春考外语考试，需要满足什么条件？""",627,"['高考学考_春考', '高考学考_高中学业水平考试']"
"""外语合格考未参加的情况下，能否报考春季高考的外语科目？""",627,"['高考学考_春考', '高考学考_高中学业水平考试']"
"""报考语文数学合格考和1月份春考外语的具体流程是什么？""",627,"['高考学考_高中学业水平考试', '高考学考_春考']"
5月等级性考试共有多少门科目？,628,['高考学考_高中学业水平考试']
化学是否属于5月等级性考试的考试范围？,628,['高考学考_高中学业水平考试']
哪些科目被安排在5月的等级性考试中？,628,['高考学考_高中学业水平考试']
等级考试是否允许补考？,629,['证书考试_全国计算机等级考试（NCRE)']
如果等级考未通过，是否有补考机会？,629,['高考学考_高中学业水平考试']
等级考有没有第二次考试的安排？,629,['证书考试_全国计算机等级考试（NCRE)']
等级考最多允许报考几门科目？,630,['证书考试_全国计算机等级考试（NCRE)']
等级性考试的报名时间段是什么时候？,630,['高考学考_高中学业水平考试']
高校专业对等级考科目的选择有什么具体要求？,630,['高考学考_高中学业水平考试']
"""合格性考试成绩不合格能否报考对应的等级性考试？""",631,['高考学考_高中学业水平考试']
"""往届生报考等级性考试是否需要重新参加合格性考试？""",631,['高考学考_高中学业水平考试']
"""报考等级性考试需要满足哪些前置条件？""",631,['高考学考_高中学业水平考试']
往届生已通过某科目高中学业水平考试，再次报考该科目等级性考试时是否必须重新参加合格性考试？,632,['高考学考_高中学业水平考试']
2016届及之前的学业水平考试成绩中，哪些等级被视为合格性考试合格？,632,['高考学考_高中学业水平考试']
若往届生已有某科目合格性考试合格成绩，报考该科目等级性考试是否需要更新合格成绩？,632,['高考学考_高中学业水平考试']
2024年应届生选定的等级性考试科目允许更换吗？,633,['高考学考_高中学业水平考试']
等级性考试科目在首次高考报名时最多能选几门？,633,['高考学考_秋考']
应届毕业生报考等级性考试科目后能重复考试吗？,633,['高考学考_高中学业水平考试']
等级性考试的成绩分哪些等级，对应的换算分数和比例分别是多少？,634,['高考学考_高中学业水平考试']
高考总分中等级性考试成绩的换算规则和等级分布比例是怎样的？,634,['高考学考_高中学业水平考试']
等级性考试中每个等级如何划分比例并换算为高考分数？,634,['高考学考_秋考']
自2024年起，等级性考试成绩的有效期是多久？,635,['高考学考_高中学业水平考试']
其他考生在2023年获得的等级性考试成绩有效期到哪一年？,635,['高考学考_高中学业水平考试']
哪些学生的等级性考试成绩有效期需依据沪教委规〔2018〕6号文件执行？,635,['高考学考_高中学业水平考试']
如果考生想保留原有的等级性考试成绩，是否需要主动登录系统进行操作？,636,['高考学考_高中学业水平考试']
等级性考试科目的更换或成绩注销申请需要在什么时间范围内提交？,636,['高考学考_高中学业水平考试']
未在指定时间内处理科目更换或成绩注销的考生，系统会如何保留其成绩？,636,['高考学考_高中学业水平考试']
2024年外语合格考的笔试和听说测试分别在什么时间进行？,637,['高考学考_高中学业水平考试']
物理、化学、生物学的技能操作测试在2024年何时举行？,637,['高考学考_高中学业水平考试']
6月28日的合格性考试安排了哪些科目及具体时间？,637,['高考学考_高中学业水平考试']
2024年高中学业水平考试的语文科目什么时候开考？,638,['高考学考_高中学业水平考试']
语文合格性考试的时长和具体时间段是什么？,638,['高考学考_高中学业水平考试']
2024年1月6日星期六上午有哪些学业水平考试安排？,638,"['高考学考_高中学业水平考试', '高考学考_中职校学业水平考试']"
2024年高中学业水平考试数学科目的具体考试日期和时间段是何时？,639,['高考学考_高中学业水平考试']
数学合格考在2024年1月6日的几点开始和结束？,639,['高考学考_高中学业水平考试']
2024年的数学合格性考试安排在星期几的什么时间？,639,['高考学考_高中学业水平考试']
2024年高中学业水平考试的外语笔试具体日期和星期几是哪天？,640,['高考学考_高中学业水平考试']
合格考外语笔试部分的考试时间段是什么时候？,640,['高考学考_高中学业水平考试']
2024年1月7日的外语笔试科目几点开始和结束？,640,['高考学考_高中学业水平考试']
2024年高中学业水平考试的外语听说测试的具体日期是哪天？,641,['高考学考_高中学业水平考试']
外语听说测试的考试开始时间是几点？,641,['高考学考_秋考']
2024年的合格性考试中，外语听说部分安排在周几进行？,641,['高考学考_高中学业水平考试']
2024年高中学业水平合格性考试的化学科目何时开始考试？,642,['高考学考_高中学业水平考试']
明年化学合格性考试的具体开考日期和时间是几号？,642,['高考学考_高中学业水平考试']
2024年1月13日上午9点开考的化学考试属于哪种类型？,642,['高考学考_高中学业水平考试']
